PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 1 y 2,pornjganc_m,porpastamarindos1,A2048,172.29.26.252,xdsl 25,CAMBIADO
Internet Home ADSL Mixto 0.5 y 4.0,porjbfalconic,porpastamarindos1,A2048,172.29.26.252,xdsl 9,CAMBIADO
Home ADSL Mixto 1 y 2,jippamoran_m,jipjipricaurte1,A2048,172.21.35.254,xdsl 40,CAMBIADO
Home ADSL Mixto 1 y 2,uiormlunaz_m,uiodizgranja1,A2048,172.30.254.82,xdsl 36,CAMBIADO
Home ADSL Mixto 1 y 2,uiocbsanchezm_m,uiocrccolon1,A2048,172.30.252.34,xdsl 19,CAMBIADO
Home ADSL Mixto 3 y 6,uiospalacios,uioarmlaescondida1,A2048,172.30.251.84,xdsl 32,CAMBIADO
Home ADSL Mixto 3 y 6,uiosjcarr_m,uioarmlaescondida1,A2048,172.30.251.84,xdsl 33,CAMBIADO
Home ADSL Mixto 1 y 2,uiojnpati_m,uioarmestancia1,A2048,172.30.252.108,xdsl 31,CAMBIADO
Home ADSL Mixto 2 y 4,uiocfmongee2,uioarmestancia1,A2048,172.30.252.108,xdsl 18,CAMBIADO
Home ADSL Mixto 4 y 8,uiordensm_m,uioarmestancia1,A2048,172.30.252.108,xdsl 20,CAMBIADO
Home ADSL Mixto 1 y 2,cayrpadillac2,caycaycayambe1,A2048,172.30.250.2,xdsl 15,CAMBIADO
Home ADSL Mixto 512 y 1024,pordrcastillov1,porpasolivos1,A2048,172.29.26.251,xdsl 3,CAMBIADO
Home ADSL Mixto 2 y 4,porarfloresv,porpasolivos1,A2048,172.29.26.251,xdsl 20,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,pormesilv,porpasolivos1,A2048,172.29.26.251,xdsl 12,CAMBIADO
Home ADSL Mixto 1 y 2,porhamaciasc,porporministerio1,A2048,172.29.46.254,xdsl 29,CAMBIADO
Home ADSL Mixto 2 y 4,porseanga_m,porporministerio1,A2048,172.29.46.254,xdsl 24,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,porbavallejosg1,porporministerio1,A2048,172.29.46.254,xdsl 46,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,porjemoralesc1,porporministerio1,A2048,172.29.46.254,xdsl 43,CAMBIADO
Home ADSL Mixto 1 y 2,vincjmosq_m,vinvinextensionsucre1,A2048,172.25.1.252,xdsl 32,CAMBIADO
Home ADSL Mixto 1 y 2,caymmpaezj2,caycaycayambe2,A2048,172.30.250.3,xdsl 46,CAMBIADO
Home ADSL Mixto 2 y 4,uioltacob1,uioslgamerica1,A2048,172.30.252.171,xdsl 37,CAMBIADO
Home ADSL Mixto 2 y 4,porfmajoyd_m,porporinteractive2,A2048,172.29.21.253,xdsl 26,CAMBIADO
Home ADSL Mixto 1 y 2,jipljpinelam2,jipjip3demayo1,A2048,172.21.26.254,xdsl 46,CAMBIADO
Home ADSL Mixto 1 y 2,jipjwaram_m,jipjip3demayo1,A2048,172.21.26.254,xdsl 42,CAMBIADO
Home ADSL Mixto 2 y 4,uiogmvanegasg1,uiongvgranados1,A2048,172.30.249.4,xdsl 4,CAMBIADO
Home ADSL Mixto 2 y 4,uioovpenahe_m,uiongvgranados1,A2048,172.30.249.4,xdsl 1,CAMBIADO
Home ADSL Mixto 4 y 8,uiommgrijal_m,uiotrqterrazassol1,A2048,172.30.252.82,xdsl 21,CAMBIADO
Home ADSL Mixto 2 y 4,pormiguerrer_m,porporcatedral1,A2048,172.29.98.254,xdsl 24,CAMBIADO
Internet Home ADSL Mixto 0.5 y 6.1,porxzaiyun,porporcatedral1,A2048,172.29.98.254,xdsl 45,CAMBIADO
Internet Home ADSL Mixto 0.5 y 6.1,porjkcovenam,porporcatedral1,A2048,172.29.98.254,xdsl 22,CAMBIADO
Home ADSL Mixto 1 y 2,porammaridu_m,porporleones1,A2048,172.29.58.254,xdsl 15,CAMBIADO
Home ADSL Mixto 3 y 6,porcesolo_m,porporleones1,A2048,172.29.58.254,xdsl 42,CAMBIADO
Home ADSL Mixto 512 y 1024,porroduch_m,porpaselnino1,A2048,172.29.26.250,xdsl 25,CAMBIADO
Home ADSL Mixto 2 y 4,porgmsanc_m,porpaselnino1,A2048,172.29.26.250,xdsl 3,CAMBIADO
Home ADSL Mixto 3 y 6,pormrasanv_m,porpaselnino1,A2048,172.29.26.250,xdsl 32,CAMBIADO
Home ADSL Mixto 3 y 6,uiowapastranav1,uiobrr2hiedras1,A2048,172.30.249.211,xdsl 7,CAMBIADO
Home ADSL Mixto 3 y 6,uiolddea1,uiobrr2hiedras1,A2048,172.30.249.211,xdsl 30,CAMBIADO
Home ADSL Mixto 3 y 6,uiokolorsa_m,uiobrr2hiedras1,A2048,172.30.249.211,xdsl 15,CAMBIADO
Home ADSL Mixto 4 y 8,uiobis.a._m,uiongv2bromelias1,A2048,172.30.254.167,xdsl 37,CAMBIADO
Home ADSL Mixto 256 y 512,uiomdleon_n,uiongv2bromelias1,A2048,172.30.254.167,xdsl 15,CAMBIADO
Home ADSL Mixto 3 y 6,uiohavald_m,uiolbslimonar1,A2048,172.30.249.146,xdsl 11,CAMBIADO
Home ADSL Mixto 3 y 6,uiovsorok_m,uiolbslimonar1,A2048,172.30.249.146,xdsl 39,CAMBIADO
Home ADSL Mixto 2 y 4,uioerpazm_m,uiolbslimonar1,A2048,172.30.249.146,xdsl 15,CAMBIADO
Home ADSL Mixto 3 y 6,uiocavivancoz1,uioprsmotilones1,A2048,172.30.249.35,xdsl 1,CAMBIADO
Home ADSL Mixto 2 y 4,uiojatorr_m,uioprsmotilones1,A2048,172.30.249.35,xdsl 6,CAMBIADO
Home ADSL Mixto 1 y 2,uioeaquir_m,uiomdnjatupungo1,A2048,172.30.249.226,xdsl 35,CAMBIADO
Home ADSL Mixto 2 y 4,uiocipazm,uiomdnjatupungo1,A2048,172.30.249.226,xdsl 26,CAMBIADO
Home ADSL Mixto 3 y 6,uioagfrei_m,uiomdnjatupungo1,A2048,172.30.249.226,xdsl 36,CAMBIADO
Home ADSL Mixto 3 y 6,uioeaquiro_m,uiomdnjatupungo1,A2048,172.30.249.226,xdsl 41,CAMBIADO
Home ADSL Mixto 3 y 6,uiojesala_m,uiomdnjatupungo1,A2048,172.30.249.226,xdsl 37,CAMBIADO
Home ADSL Mixto 1 y 2,uiojrenca_m,uiobogjpareja1,A2048,172.30.251.132,xdsl 12,CAMBIADO
Home ADSL Mixto 1 y 2,uiodmcrio_m,uiobogjpareja1,A2048,172.30.251.132,xdsl 7,CAMBIADO
Home ADSL Mixto 512 y 1536,uiotoroc_m,uiobogjpareja1,A2048,172.30.251.132,xdsl 18,CAMBIADO
Home ADSL Mixto 2 y 4,uiobsa_m,uiobogjpareja1,A2048,172.30.251.132,xdsl 29,CAMBIADO
Home ADSL Mixto 2 y 4,uioagfigu_m,uiobogjpareja1,A2048,172.30.251.132,xdsl 34,CAMBIADO
Home ADSL Mixto 1 y 2,uiogdcuacesr1,uiomorsclara1,A2048,172.30.252.18,xdsl 20,CAMBIADO
Home ADSL Mixto 6 y 12,uioabhughesm,uiomorsclara1,A2048,172.30.252.18,xdsl 46,CAMBIADO
Home ADSL Mixto 1 y 2,porlvtorog_m,porporcristorey1,A2048,172.29.50.254,xdsl 10,CAMBIADO
Home ADSL Mixto 2 y 4,porlaalav_m,porporcristorey1,A2048,172.29.50.254,xdsl 46,CAMBIADO
Home ADSL Mixto 1 y 2,jipbfholguing1,jipjipsantistevan1,A2048,172.21.36.254,xdsl 1,CAMBIADO
Home ADSL Mixto 1 y 2,jipmofigueroac2,jipjipsantistevan1,A2048,172.21.36.254,xdsl 32,CAMBIADO
Home ADSL Mixto 1 y 2,jippjaceboc_m,jipjipsantistevan1,A2048,172.21.36.254,xdsl 29,CAMBIADO
