PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 1 y 2,stdcpcaba_m,stdsdhcenteno1,7224,172.30.253.146,2/18,CAMBIADO
Home ADSL Mixto 2 y 4,stdjdcarbo_m,stdsdhcenteno1,7224,172.30.253.146,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,stdrigarciaz2,stdclnjmontalvo2,7224,172.30.253.117,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,stdcvpinargotez1,stdclnjmontalvo2,7224,172.30.253.117,2/17,CAMBIADO
Home ADSL Mixto 1 y 2,stdjmmedinaq1,stdclnjmontalvo2,7224,172.30.253.117,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,stdgggavi_m,stdcln30dejulio1,7224,172.30.253.116,2/18,CAMBIADO
Home ADSL Mixto 1 y 2,stdmccede_m,stdcln30dejulio1,7224,172.30.253.116,2/22,CAMBIADO
Home ADSL Mixto 256 y 512,stdlogomezm_m,stdcln30dejulio1,7224,172.30.253.116,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,rioaeguadalupeo1,riotrmestadio2,7224,172.31.200.3,2/19,CAMBIADO
Home ADSL Mixto 1 y 2,rioliverap2,riotrmestadio2,7224,172.31.200.3,2/17,CAMBIADO
Home ADSL Mixto 1 y 2,rioydlluguinm1,riotrmestadio2,7224,172.31.200.3,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,rionyjacomec1,riotrmestadio2,7224,172.31.200.3,2/18,CAMBIADO
Home ADSL Mixto 2 y 4,riobvicarioli1,riotrmestadio2,7224,172.31.200.3,2/2,CAMBIADO
Home ADSL Mixto 2 y 4,rionazambranom3,riotrmestadio2,7224,172.31.200.3,2/21,CAMBIADO
Home ADSL Mixto 3 y 6,rioffpazo_m,riotrmestadio2,7224,172.31.200.3,2/12,CAMBIADO
Home ADSL Mixto 2 y 4,riompball_m,riotrmestadio2,7224,172.31.200.3,2/15,CAMBIADO
Home ADSL Mixto 2 y 4,riomvsanc_m,riotrmestadio2,7224,172.31.200.3,2/14,CAMBIADO
Home ADSL Mixto 1 y 2,stdjdmeri_m,stdctctoachi6,7224,172.30.253.9,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,stdjechil_m,stdctctoachi6,7224,172.30.253.9,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,stdhcongy_m,stdctctoachi6,7224,172.30.253.9,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,stdmatoap_m,stdctctoachi6,7224,172.30.253.9,2/18,CAMBIADO
Home ADSL Mixto 1 y 2,stdqli_m,stdctctoachi6,7224,172.30.253.9,2/14,CAMBIADO
Home ADSL Mixto 1 y 2,stdlavegam_m,stdctctoachi6,7224,172.30.253.9,2/11,CAMBIADO
Home ADSL Mixto 2 y 4,stdgwapoloc1,stdctctoachi6,7224,172.30.253.9,2/13,CAMBIADO
Home ADSL Mixto 2 y 4,stddgandinoc5,stdctctoachi6,7224,172.30.253.9,2/9,CAMBIADO
Home ADSL Mixto 2 y 4,stdgedelgadob1,stdctctoachi6,7224,172.30.253.9,2/7,CAMBIADO
Home ADSL Mixto 512 y 1536,stdmipach_m,stdctctoachi6,7224,172.30.253.9,2/10,CAMBIADO
Home ADSL Mixto 1 y 2,stdjcorte_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,stdalmaci_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,stdeecontrer_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,stdjgorma_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,stdjrmorochor1,stdsdhnuevosdomingo1,7224,172.30.253.100,2/5,CAMBIADO
Home ADSL Mixto 1 y 2,stdmpmanobandaa1,stdsdhnuevosdomingo1,7224,172.30.253.100,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,stdammendoz,stdsdhnuevosdomingo1,7224,172.30.253.100,2/9,CAMBIADO
Home ADSL Mixto 1 y 2,stdmomoro,stdsdhnuevosdomingo1,7224,172.30.253.100,2/21,CAMBIADO
Home ADSL Mixto 256 y 512,stdjmpadi_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/12,CAMBIADO
Home ADSL Mixto 256 y 512,stdjmpadi_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/12,CAMBIADO
Home ADSL Mixto 256 y 512,stdmamendezc_m,stdsdhnuevosdomingo1,7224,172.30.253.100,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,uiohmsala_m,uiopamsolII1,7224,172.30.252.45,2/8,CAMBIADO
Home ADSL Mixto 1 y 2,uioljaneiro_m,uiopamsolII1,7224,172.30.252.45,2/12,CAMBIADO
