PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 1 y 2,gyefeolver_m,gyecalcolinasdelsol2,R1AD24A,172.17.47.60,2/3,CAMBIADO
Home ADSL Mixto 3 y 6,uiomtdim1,uiolbshondonada1,R1AD24A,172.30.249.151,2/23,CAMBIADO
Home ADSL Mixto 512 y 1024,miljmluzuriagaa1,milmilpraderauno2,R1AD24A,172.16.82.253,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,uiorpjerezl1,uioortgabrielaA1,R1AD24A,172.30.252.66,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,aloeklope_m,aloaloaloag1,R1AD24A,172.30.253.90,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,uiojatitu_m,uioca4solidaridad2,R1AD24A,172.30.251.54,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,uioaasuas_m,uioitralfaro1,R1AD24A,172.30.252.194,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,jipkchinojos_m,jipjipeloyalfaro1,R1AD24A,172.21.33.254,2/1,CAMBIADO
Home ADSL Mixto 3 y 6,gyeaicastill_m,gyealbalboradadoce1,R1AD24A,172.17.88.254,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,balfmesme_m,balbal4deoctubre3,R1AD24A,172.26.1.252,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,baljeplua_m,balbal4deoctubre3,R1AD24A,172.26.1.252,2/23,CAMBIADO
Home ADSL Mixto 3 y 6,gyeatorresg,gyeame2kparque1,R1AD24A,172.27.164.252,2/2,CAMBIADO
Home ADSL Mixto 3 y 6,gyemtmari_m,gyepazpuertoazul1,R1AD24A,172.17.26.62,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,uiocagalarzaz2,uiopampampaB1,R1AD24A,172.30.252.125,2/9,CAMBIADO
Home ADSL Mixto 3 y 6,uiojjpere_m,uiopampampaB1,R1AD24A,172.30.252.125,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,rmhsjgordilloc1,uiosnlurbfranciscoB2,R1AD24A,172.30.252.93,2/13,CAMBIADO
Home ADSL Mixto 2 y 4,uiocabez_m,uiosnlurbfranciscoB2,R1AD24A,172.30.252.93,2/15,CAMBIADO
Home ADSL Mixto 1 y 2,uiojmacos_m,uiodizacevedo1,R1AD24A,172.30.254.90,2/10,CAMBIADO
Home ADSL Mixto 2 y 4,uiored3,uiodizacevedo1,R1AD24A,172.30.254.90,2/13,CAMBIADO
Home ADSL Mixto 2 y 4,uiordmaldonadom1,uiokedrborja1,R1AD24A,172.30.254.221,2/12,CAMBIADO
Home ADSL Mixto 3 y 6,uioojvelad_m,uioscacondado1,R1AD24A,172.30.252.187,2/9,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,porcarami,porporleones3,R1AD24A,172.29.58.252,2/16,CAMBIADO
Home ADSL Mixto 4 y 8,uiooablan_m,uiogch3jacarandaB1,R1AD24A,172.30.254.138,2/9,CAMBIADO
Home ADSL Mixto 1 y 2,yagdfmarc_m,yagyageloro1,R1AD24A,172.16.110.254,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,yagjabrione_m,yagyageloro1,R1AD24A,172.16.110.254,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,yagmamart_m,yagyageloro1,R1AD24A,172.16.110.254,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,yagn_arte_m,yagyageloro1,R1AD24A,172.16.110.254,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,yagcemora_m,yagyageloro1,R1AD24A,172.16.110.254,2/17,CAMBIADO
Home ADSL Mixto 4 y 8,uiogango_m,uiocrcpaulrivet1,R1AD24A,172.30.254.146,2/16,CAMBIADO
Home ADSL Mixto 1 y 2,pleragome_m,pleple16dejunio2,R1AD24A,10.113.2.253,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,plenralva_m,pleple16dejunio2,R1AD24A,10.113.2.253,2/8,CAMBIADO
Home ADSL Mixto 2 y 4,quiwzheng1,quiqui3dejulio1,R1AD24A,172.30.253.20,2/21,CAMBIADO
Home ADSL Mixto 3 y 6,uiomerodr_m,uiobrrvhermoso1,R1AD24A,172.30.252.242,2/14,CAMBIADO
Home ADSL Mixto 3 y 6,uiogbvasc_m,uiobrrvhermoso1,R1AD24A,172.30.252.242,2/15,CAMBIADO
Home ADSL Mixto 2 y 4,uiojperra_m,uiobrrvhermoso1,R1AD24A,172.30.252.242,2/16,CAMBIADO
Home ADSL Mixto 1 y 2,uiolmmore_m,mchmchcabless1,R1AD24A,172.30.253.51,2/12,CAMBIADO
Home ADSL Mixto 1 y 2,mchvjbald_m,mchmchcabless1,R1AD24A,172.30.253.51,2/17,CAMBIADO
Home ADSL Mixto 6 y 12,nrjwferna_m,njlnjlemiliogonzalez1,R1AD24A,10.116.1.254,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,carnasolorzanoc1,carcarelcarmen1,R1AD24A,172.30.253.34,2/18,CAMBIADO
Home ADSL Mixto 1 y 2,pormamedi_m,porporpmacias3,R1AD24A,172.29.62.252,2/14,CAMBIADO
Home ADSL Mixto 2 y 4,porpcmont_m,porporpmacias3,R1AD24A,172.29.62.252,2/19,CAMBIADO
Home ADSL Mixto 0.512 y 1,poraicuna_m,porporpmacias3,R1AD24A,172.29.62.252,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,stdmjandradeh1,stdclncolorado2,R1AD24A,172.30.253.77,2/18,CAMBIADO
Home ADSL Mixto 1 y 2,stdjlvelizg2,stdclncolorado2,R1AD24A,172.30.253.77,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,stdwchen4,stdclncolorado2,R1AD24A,172.30.253.77,2/22,CAMBIADO
Home ADSL Mixto 6 y 12,uioacesegur_m,uiogch3jacarandaA1,R1AD24A,172.30.254.134,2/4,CAMBIADO
Home ADSL Mixto 2 y 4,uiojrpiscos1,uioarm2tivantta1,R1AD24A,172.30.249.50,2/20,CAMBIADO
Home ADSL Mixto 2 y 4,uiojccevall_m,uioarm2tivantta1,R1AD24A,172.30.249.50,2/12,CAMBIADO
Home ADSL Mixto 2 y 4,uiofrjati_m,uioarm2tivantta1,R1AD24A,172.30.249.50,2/19,CAMBIADO
Home ADSL Mixto 4 y 8,uioscalistog1,uiomdn2huertos1,R1AD24A,172.30.251.20,2/9,CAMBIADO
Home ADSL Mixto 4 y 8,uiotbustot_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/20,CAMBIADO
Home ADSL Mixto 3 y 6,uiopredios,uiomdn2huertos1,R1AD24A,172.30.251.20,2/19,CAMBIADO
Home ADSL Mixto 3 y 6,uiopeiturral_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/1,CAMBIADO
Home ADSL Mixto 6 y 12,uiotshura_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/24,CAMBIADO
Home ADSL Mixto 3 y 6,uiomgproc_m,uionpm2cantaros1,R1AD24A,172.30.251.34,2/16,CAMBIADO
